second,stored
1,289
2,739
3,1201
4,1667
5,2134
6,2621
7,3085
8,3538
9,3993
10,4451
11,4861
12,5290
13,5696
14,6071
15,6449
16,6713
17,6714
18,6714
19,6714
20,6715
21,6715
22,6715
23,6715
24,6715
25,6715
26,6715
27,6715
28,6715
29,6715
30,6715
31,6715
32,6715
33,6715
34,6715
35,6715
36,6715
37,6715
38,6715
39,6715
40,6715
41,6715
42,6715
43,6715
44,6715
45,6715
46,6715
47,6715
48,6715
49,6715
50,6715
51,6715
52,6715
53,7219
54,7664
55,8093
56,8524
57,8963
58,9405
59,9828
60,10204
61,10615
62,11018
63,11432
64,11849
65,12290
66,12744
67,13208
68,13663
69,14109
70,14569
71,15027
72,15478
73,15940
74,16406
75,16872
76,17314
77,17797
78,17966
79,17967
80,17967
81,17967
82,17967
83,17967
